,size,material,color,sleeves,demand
199,XXL,polyester,blue,long,medium
200,XS,nylon,black,short,medium
201,XL,polyester,white,short,low
202,M,nylon,black,long,medium
203,XS,cotton,orange,short,high
204,XL,nylon,blue,long,medium
205,S,linen,black,long,medium
206,M,nylon,green,long,medium
207,M,polyester,green,short,high
208,XL,silk,navy,short,low
209,XL,nylon,white,short,low
210,XL,polyester,cream,short,high
211,XL,cotton,red,short,high
212,L,linen,cream,short,high
213,XL,silk,red,short,low
214,XL,polyester,white,long,low
215,3XL,cotton,yellow,short,medium
216,3XL,cotton,violet,long,low
217,S,polyester,cream,short,high
218,L,silk,yellow,short,low
219,L,nylon,red,short,high
220,3XL,nylon,cream,short,high
221,L,nylon,cream,long,medium
222,XL,polyester,white,short,low
223,XS,polyester,red,short,high
224,3XL,nylon,cream,long,medium
225,XS,nylon,cream,long,high
226,XXL,polyester,cream,long,medium
227,XS,linen,cream,short,high
228,XL,linen,orange,long,medium
229,M,polyester,black,short,medium
230,XXL,polyester,navy,long,medium
231,L,nylon,cream,short,high
232,3XL,cotton,navy,short,medium
233,XL,cotton,white,long,medium
234,M,polyester,yellow,long,medium
235,S,polyester,navy,long,high
236,XL,polyester,yellow,short,high
237,XL,polyester,white,long,low
238,XL,polyester,navy,long,medium
239,L,linen,black,long,medium
240,3XL,cotton,blue,long,low
241,L,cotton,cream,long,medium
242,XS,silk,yellow,long,low
243,XS,polyester,black,short,medium
244,L,nylon,black,long,medium
245,XS,polyester,violet,long,medium
246,XL,linen,navy,long,high
247,M,polyester,violet,long,medium
248,S,polyester,yellow,short,high
249,L,polyester,black,short,medium
250,L,nylon,navy,short,high
251,L,polyester,green,long,medium
252,M,nylon,cream,short,high
253,3XL,cotton,black,long,medium
254,XS,linen,green,long,high
255,XL,linen,cream,long,high
256,XS,polyester,navy,long,high
257,XS,nylon,blue,short,high
258,3XL,linen,violet,long,medium
259,L,polyester,navy,short,high
260,M,polyester,navy,short,high
261,XS,nylon,navy,short,high
262,L,cotton,navy,long,medium
263,M,polyester,black,long,medium
264,M,linen,cream,short,high
265,M,cotton,black,long,medium
266,3XL,cotton,white,long,medium
267,L,polyester,cream,short,high
268,3XL,silk,black,long,low
269,L,cotton,orange,short,high
270,S,polyester,violet,short,high
271,L,polyester,red,long,medium
272,XXL,nylon,white,long,low
273,S,cotton,cream,long,high
274,M,nylon,yellow,long,medium
275,XL,cotton,white,short,medium
276,XS,polyester,blue,long,high
277,XXL,cotton,yellow,long,low
278,M,nylon,red,long,medium
279,M,nylon,black,short,medium
280,M,linen,yellow,short,high
281,XS,cotton,black,short,medium
282,XXL,linen,blue,short,high
283,L,nylon,violet,long,medium
284,L,cotton,white,short,high
285,3XL,cotton,green,short,medium
286,3XL,polyester,black,long,medium
287,L,linen,white,long,high
288,S,cotton,navy,short,high
289,3XL,polyester,violet,short,medium
290,L,silk,cream,short,low
291,XXL,cotton,cream,short,high
292,XS,linen,violet,long,high
293,S,polyester,violet,short,high
294,XS,polyester,cream,short,high
295,XXL,linen,navy,short,high
296,M,silk,red,short,low
297,L,polyester,navy,long,medium
298,L,silk,orange,short,low
299,L,linen,red,long,high
300,L,linen,black,short,medium
301,M,polyester,yellow,long,medium
302,L,polyester,yellow,short,high
303,XL,polyester,red,long,medium
304,XXL,cotton,black,short,medium
305,S,cotton,red,long,high
306,M,polyester,blue,long,medium
307,XXL,silk,violet,short,low
308,L,linen,white,long,high
309,S,nylon,black,long,medium
310,XS,silk,white,long,low
311,XL,nylon,navy,long,medium
312,XXL,silk,cream,short,low
313,L,linen,black,long,medium
314,XL,cotton,violet,long,low
315,L,polyester,white,short,high
316,L,cotton,navy,long,medium
317,L,nylon,cream,long,medium
318,XL,cotton,white,short,medium
319,XS,cotton,yellow,short,high
320,XL,polyester,blue,long,medium
321,S,polyester,blue,short,high
322,3XL,cotton,white,short,medium
323,XXL,polyester,green,long,low
324,M,nylon,blue,long,medium
325,XL,nylon,navy,short,high
326,S,polyester,black,long,medium
327,XL,polyester,blue,long,medium
328,M,nylon,red,long,medium
329,3XL,cotton,red,short,medium
330,XS,nylon,green,long,medium
331,S,silk,navy,long,medium
332,L,nylon,cream,long,medium
333,XXL,linen,blue,short,high
334,XXL,polyester,white,long,low
335,XXL,linen,cream,long,medium
336,XL,polyester,yellow,short,high
337,XXL,polyester,orange,long,low
338,XXL,polyester,violet,short,high
339,S,linen,orange,short,high
340,M,polyester,blue,short,high
341,M,polyester,white,short,medium
342,XL,cotton,blue,long,medium
343,XL,cotton,white,long,medium
344,S,cotton,white,short,high
345,XL,cotton,yellow,short,high
346,XXL,cotton,white,short,medium
347,L,linen,black,long,medium
348,XXL,polyester,white,short,low
349,3XL,nylon,cream,short,high
350,M,nylon,red,short,high
351,S,linen,black,long,medium
352,S,nylon,white,short,medium
353,XXL,nylon,cream,short,high
354,L,nylon,navy,short,high
355,L,linen,black,short,medium
356,XL,polyester,navy,short,high
357,XL,cotton,blue,long,medium
358,S,polyester,blue,short,high
359,L,cotton,violet,long,medium
360,S,nylon,cream,short,high
361,XXL,cotton,white,short,medium
362,3XL,linen,cream,short,high
363,S,cotton,cream,long,high
364,L,nylon,navy,long,medium
365,3XL,polyester,yellow,long,low
366,M,cotton,cream,short,high
367,L,polyester,orange,long,medium
368,XXL,cotton,white,long,medium
369,XL,polyester,orange,short,high
370,XXL,nylon,cream,long,medium
371,S,polyester,navy,long,high
372,XL,cotton,black,short,medium
373,S,linen,white,long,high
374,XXL,cotton,red,short,high
375,L,polyester,navy,short,high
376,L,cotton,blue,long,medium
377,XS,polyester,cream,short,high
378,XXL,nylon,orange,short,high
379,3XL,polyester,black,long,medium
380,L,linen,blue,long,high
381,XXL,nylon,orange,short,high
382,L,polyester,yellow,long,medium
383,XL,polyester,black,short,medium
384,XS,polyester,white,long,medium
385,M,nylon,violet,short,high
386,M,linen,violet,short,high
387,XXL,linen,green,short,high
388,S,silk,blue,short,medium
389,XS,cotton,white,short,high
390,S,linen,navy,long,high
391,XS,polyester,blue,short,high
392,M,cotton,black,short,medium
393,M,nylon,black,short,medium
394,XS,polyester,navy,long,high
395,XL,polyester,yellow,long,medium
396,M,polyester,white,long,medium
397,XL,nylon,navy,short,high
398,S,nylon,blue,short,high
399,XXL,polyester,black,long,medium
400,L,nylon,black,long,medium
401,XS,cotton,white,short,high
402,XL,cotton,yellow,long,low
403,XL,polyester,cream,short,high
404,M,nylon,cream,long,medium
405,S,cotton,orange,short,high
406,XL,nylon,blue,long,medium
407,XS,nylon,navy,short,high
408,XL,polyester,black,short,medium
409,XL,polyester,red,short,high
410,S,silk,white,long,low
411,XXL,nylon,orange,long,low
412,XL,cotton,violet,long,low
413,L,linen,green,short,high
414,S,polyester,black,long,medium
415,XL,cotton,black,long,medium
416,3XL,nylon,blue,short,high
417,S,nylon,cream,long,high
418,XXL,cotton,yellow,short,medium
419,M,linen,cream,long,high
420,3XL,nylon,white,short,low
421,3XL,nylon,black,short,medium
422,S,cotton,cream,short,high
423,L,nylon,black,short,medium
424,L,polyester,black,long,medium
425,S,cotton,violet,short,high
426,M,silk,black,long,low
427,S,linen,white,long,high
428,M,polyester,navy,long,medium
429,XL,polyester,orange,short,high
430,S,polyester,black,short,medium
431,L,polyester,navy,long,medium
432,3XL,cotton,navy,long,low
433,3XL,linen,white,long,low
434,L,polyester,red,short,high
435,L,cotton,black,long,medium
436,XS,polyester,green,short,high
437,XL,nylon,cream,long,medium
438,L,nylon,orange,short,high
439,M,nylon,orange,short,high
440,3XL,polyester,white,long,low
441,XXL,nylon,blue,short,high
442,XL,cotton,cream,long,medium
443,XXL,polyester,green,long,low
444,3XL,polyester,navy,long,medium
445,L,nylon,orange,long,medium
446,XL,cotton,blue,long,medium
447,XL,polyester,blue,short,high
448,S,linen,navy,long,high
449,M,silk,red,short,low
450,3XL,nylon,red,long,low
451,S,nylon,cream,short,high
452,XL,cotton,red,long,medium
453,S,polyester,navy,short,high
454,M,cotton,black,long,medium
455,S,nylon,navy,long,high
456,L,nylon,blue,long,medium
457,L,polyester,white,short,high
458,XXL,cotton,navy,long,medium
459,XXL,cotton,navy,short,high
460,S,silk,orange,short,medium
461,XL,silk,blue,short,low
462,XXL,nylon,white,long,low
463,L,nylon,blue,long,medium
464,S,cotton,black,long,medium
465,3XL,polyester,red,short,high
466,L,cotton,green,long,medium
467,XXL,cotton,blue,short,high
468,3XL,nylon,blue,long,low
469,M,linen,cream,long,high
470,XS,nylon,green,long,medium
471,S,cotton,orange,short,high
472,XL,nylon,orange,long,medium
473,L,linen,orange,short,high
474,S,polyester,black,short,medium
475,3XL,cotton,orange,short,medium
476,3XL,polyester,blue,short,high
477,S,linen,black,long,medium
478,S,nylon,orange,long,high
479,XXL,linen,navy,short,high
480,L,cotton,white,long,high
481,3XL,polyester,navy,long,medium
482,L,polyester,black,short,medium
483,XL,cotton,cream,long,medium
484,XL,polyester,black,short,medium
485,XL,nylon,navy,short,high
486,XL,cotton,blue,short,high
487,M,cotton,cream,long,medium
488,XXL,cotton,white,long,medium
489,L,polyester,cream,long,medium
490,L,cotton,white,short,high
491,L,polyester,cream,short,high
492,XL,nylon,navy,long,medium
493,L,nylon,white,long,high
494,XXL,linen,red,short,high
495,S,linen,white,short,high
496,XL,nylon,navy,short,high
497,XXL,polyester,green,short,medium
498,XXL,cotton,black,short,medium
499,3XL,cotton,black,short,medium
500,XXL,cotton,red,short,high
501,XL,linen,white,short,medium
502,XL,polyester,yellow,long,medium
503,XXL,nylon,red,short,high
504,L,polyester,white,long,high
505,XS,nylon,black,long,medium
506,L,polyester,black,short,medium
507,L,linen,green,short,high
508,L,polyester,white,long,high
509,S,nylon,violet,long,high
510,XXL,polyester,cream,short,high
511,XS,nylon,violet,long,medium
512,XS,nylon,navy,short,high
513,XS,nylon,orange,short,high
514,XL,cotton,white,long,medium
515,XL,polyester,cream,long,medium
516,M,polyester,violet,long,medium
517,XL,linen,navy,short,high
518,L,nylon,white,short,high
519,M,cotton,red,short,high
520,M,polyester,black,short,medium
521,XL,nylon,white,long,low
522,XL,polyester,blue,long,medium
523,3XL,polyester,navy,short,high
524,L,cotton,white,short,high
525,L,silk,navy,short,low
526,3XL,polyester,white,long,low
527,M,linen,blue,long,high
528,S,polyester,green,long,medium
529,L,linen,green,short,high
530,3XL,cotton,orange,long,low
531,XL,nylon,blue,short,high
532,S,linen,cream,long,high
533,XL,cotton,white,long,medium
534,S,cotton,red,long,high
535,3XL,linen,white,long,low
536,M,polyester,violet,long,medium
537,XL,cotton,red,short,high
538,S,nylon,black,long,medium
539,L,polyester,blue,long,medium
540,L,silk,blue,long,low
541,M,polyester,black,long,medium
542,S,linen,orange,long,high
543,S,cotton,green,long,medium
544,XXL,polyester,blue,long,medium
545,L,cotton,green,short,high
546,3XL,linen,black,long,low
547,M,linen,white,long,high
548,L,linen,navy,long,high
549,XL,cotton,red,long,medium
550,S,cotton,cream,long,high
551,M,linen,yellow,short,high
552,M,linen,violet,long,medium
553,XXL,cotton,yellow,short,medium
554,XL,cotton,blue,long,medium
555,XS,polyester,cream,short,high
556,M,polyester,white,long,medium
557,L,nylon,blue,long,medium
558,3XL,polyester,black,long,medium
559,S,silk,green,short,medium
560,L,polyester,violet,long,medium
561,L,nylon,green,short,high
562,XL,nylon,orange,short,high
563,L,cotton,navy,long,medium
564,L,polyester,green,short,high
565,M,nylon,white,short,medium
566,L,cotton,yellow,short,high
567,M,polyester,black,long,medium
568,L,nylon,red,short,high
569,M,polyester,red,short,high
570,XS,nylon,navy,long,high
571,3XL,silk,navy,short,low
572,M,linen,navy,long,high
573,L,polyester,navy,long,medium
574,3XL,polyester,yellow,short,medium
575,3XL,linen,violet,short,high
576,S,cotton,navy,long,high
577,XXL,cotton,black,short,medium
578,XS,silk,white,long,low
579,S,polyester,navy,long,high
580,XL,polyester,black,long,medium
581,XS,polyester,white,short,medium
582,L,linen,black,short,medium
583,XS,silk,cream,short,medium
584,XXL,polyester,red,long,medium
585,L,nylon,black,long,medium
586,S,cotton,black,long,medium
587,3XL,nylon,cream,short,high
588,L,cotton,yellow,long,medium
589,XL,polyester,red,long,medium
590,XL,polyester,cream,long,medium
591,L,polyester,yellow,long,medium
592,L,cotton,blue,long,medium
593,3XL,nylon,blue,long,low
594,S,cotton,white,short,high
595,3XL,polyester,cream,short,high
596,S,cotton,navy,short,high
597,L,polyester,black,long,medium
598,M,nylon,black,short,medium
599,3XL,polyester,orange,short,medium
600,S,silk,blue,long,medium
601,XS,nylon,red,long,high
602,L,polyester,white,short,high
603,S,nylon,cream,long,high
604,S,nylon,red,short,high
605,XS,polyester,yellow,short,high
606,XL,polyester,green,short,high
607,L,polyester,black,short,medium
608,XL,linen,black,long,medium
609,L,silk,yellow,long,low
610,XXL,linen,red,short,high
611,XL,cotton,navy,short,high
612,3XL,nylon,black,short,medium
613,XXL,cotton,cream,long,medium
614,M,linen,red,short,high
615,L,linen,green,long,medium
616,L,polyester,green,long,medium
617,XXL,nylon,white,long,low
618,XXL,cotton,yellow,long,low
619,S,nylon,cream,short,high
620,XS,nylon,white,short,medium
621,L,cotton,cream,long,medium
622,3XL,polyester,red,long,low
623,XL,silk,yellow,long,low
624,M,nylon,cream,short,high
625,L,silk,black,long,medium
626,XL,linen,cream,short,high
627,XXL,nylon,navy,short,high
628,M,cotton,black,short,medium
629,S,polyester,white,long,medium
630,XL,polyester,green,long,medium
631,XS,nylon,yellow,short,high
632,L,silk,navy,short,low
633,M,polyester,green,short,high
634,XS,polyester,yellow,long,medium
635,XS,nylon,violet,short,high
636,M,polyester,blue,short,high
637,XXL,cotton,cream,short,high
638,S,linen,yellow,long,high
639,S,polyester,orange,short,high
640,XL,cotton,black,long,medium
641,XL,cotton,green,long,low
642,3XL,linen,black,long,low
643,L,cotton,orange,long,medium
644,XL,nylon,cream,long,medium
645,L,linen,red,short,high
646,XXL,cotton,navy,short,high
647,3XL,nylon,blue,long,low
648,M,polyester,blue,long,medium
649,S,polyester,white,short,medium
650,XL,polyester,green,short,high
651,3XL,linen,black,long,low
652,XXL,linen,black,long,medium
653,M,cotton,white,short,high
654,L,nylon,blue,short,high
655,M,linen,white,short,high
656,M,polyester,red,short,high
657,XS,nylon,red,short,high
658,S,polyester,blue,long,high
659,XS,cotton,cream,short,high
660,L,cotton,white,long,high
661,XXL,linen,white,short,medium
662,M,polyester,black,short,medium
663,M,cotton,green,long,low
664,L,linen,orange,long,high
665,L,linen,white,long,high
666,M,nylon,navy,long,medium
667,M,cotton,black,long,medium
668,L,linen,blue,short,high
669,3XL,nylon,yellow,long,low
670,M,linen,yellow,long,medium
671,M,nylon,white,short,medium
672,L,silk,navy,long,low
673,XXL,nylon,black,short,medium
674,XXL,nylon,white,long,low
675,L,linen,yellow,short,high
676,M,cotton,cream,short,high
677,L,cotton,red,long,medium
678,XL,polyester,blue,long,medium
679,3XL,cotton,blue,short,medium
680,XL,cotton,white,short,medium
681,M,nylon,cream,short,high
682,S,linen,orange,short,high
683,XL,linen,blue,short,high
684,XL,polyester,white,long,low
685,M,linen,blue,long,high
686,M,nylon,white,short,medium
687,L,nylon,navy,long,medium
688,L,linen,yellow,short,high
689,L,nylon,black,long,medium
690,L,cotton,white,long,high
691,XS,cotton,black,short,medium
692,L,nylon,red,short,high
693,M,cotton,blue,long,medium
694,S,nylon,blue,short,high
695,L,cotton,white,short,high
696,XS,nylon,blue,long,high
697,M,cotton,orange,short,high
698,3XL,linen,red,short,high
699,XS,linen,violet,long,high
700,XL,nylon,blue,long,medium
701,L,nylon,blue,short,high
702,XL,cotton,white,long,medium
703,3XL,linen,black,short,low
704,L,linen,cream,short,high
705,XL,polyester,orange,long,medium
706,S,nylon,red,short,high
707,XL,silk,cream,short,low
708,L,cotton,black,long,medium
709,XL,nylon,cream,short,high
710,L,polyester,violet,long,medium
711,XL,nylon,black,short,medium
712,S,nylon,black,short,medium
713,XXL,polyester,white,short,low
714,M,polyester,red,short,high
715,XS,nylon,cream,long,high
716,XL,polyester,orange,long,medium
717,L,cotton,orange,short,high
718,3XL,polyester,red,long,low
719,XXL,cotton,black,long,medium
720,S,nylon,red,short,high
721,S,polyester,yellow,short,high
722,L,linen,black,long,medium
723,XS,nylon,violet,short,high
724,L,cotton,white,long,high
725,XL,polyester,violet,long,medium
726,3XL,linen,red,long,medium
727,XL,nylon,black,long,medium
728,XL,cotton,blue,short,high
729,M,polyester,cream,short,high
730,M,cotton,yellow,long,low
731,M,cotton,navy,short,high
732,S,silk,yellow,long,medium
733,3XL,linen,yellow,short,high
734,XXL,linen,black,long,medium
735,3XL,cotton,orange,long,low
736,XL,cotton,cream,long,medium
737,S,polyester,white,short,medium
738,L,silk,white,short,low
739,3XL,cotton,cream,long,low
740,S,polyester,blue,long,high
741,XXL,polyester,violet,short,high
742,L,nylon,blue,long,medium
743,3XL,polyester,black,short,medium
744,3XL,nylon,violet,long,low
745,XL,cotton,navy,short,high
746,XS,cotton,white,long,high
747,L,silk,red,short,low
748,XL,cotton,white,short,medium
749,XS,cotton,navy,long,medium
750,M,silk,red,long,low
751,L,linen,orange,long,high
752,XL,polyester,blue,long,medium
753,XL,nylon,black,long,medium
754,M,nylon,cream,long,medium
755,3XL,polyester,black,long,medium
756,XL,linen,cream,short,high
757,M,nylon,white,long,medium
758,M,polyester,green,long,medium
759,XL,nylon,violet,long,medium
760,XL,linen,yellow,long,medium
761,XL,cotton,cream,short,high
762,M,polyester,red,short,high
763,L,nylon,red,short,high
764,M,cotton,black,long,medium
765,XS,polyester,red,short,high
766,M,polyester,red,long,medium
767,L,polyester,orange,short,high
768,M,nylon,black,short,medium
769,XXL,polyester,green,long,low
770,XL,nylon,green,long,medium
771,L,silk,white,long,medium
772,XL,cotton,orange,short,high
773,L,polyester,blue,short,high
774,XXL,linen,navy,long,medium
775,XL,polyester,navy,short,high
776,M,cotton,cream,long,medium
777,L,polyester,navy,short,high
778,S,silk,navy,short,medium
779,S,polyester,white,short,medium
780,XXL,polyester,red,short,high
781,XL,linen,navy,short,high
782,S,cotton,black,short,medium
783,L,polyester,black,short,medium
784,L,nylon,yellow,short,high
785,3XL,polyester,navy,short,high
786,M,linen,violet,short,high
787,XXL,polyester,black,long,medium
788,L,cotton,red,short,high
789,XL,cotton,red,short,high
790,XL,linen,black,short,medium
791,XL,polyester,blue,short,high
792,XL,polyester,red,long,medium
793,XXL,nylon,cream,short,high
794,3XL,polyester,black,long,medium
795,M,linen,black,short,medium
796,L,cotton,yellow,short,high
797,S,nylon,red,short,high
798,XL,linen,violet,short,high
799,XXL,cotton,navy,short,high
800,S,polyester,blue,short,high
801,S,cotton,violet,long,medium
802,S,polyester,blue,short,high
803,L,nylon,violet,short,high
804,XXL,cotton,black,short,medium
805,M,cotton,white,long,high
806,M,cotton,cream,short,high
807,XL,nylon,navy,short,high
808,L,linen,blue,short,high
809,S,nylon,white,long,medium
810,M,nylon,blue,short,high
811,S,nylon,cream,short,high
812,M,nylon,yellow,long,medium
813,L,silk,blue,long,low
814,3XL,cotton,cream,short,medium
815,XL,cotton,red,short,high
816,M,nylon,blue,long,medium
817,M,polyester,orange,long,medium
818,M,linen,red,short,high
819,XS,polyester,orange,short,high
820,XL,nylon,cream,long,medium
821,M,polyester,blue,short,high
822,XXL,linen,violet,short,high
823,M,nylon,cream,long,medium
824,L,polyester,white,short,high
825,XS,cotton,orange,short,high
826,XXL,cotton,black,long,medium
827,M,linen,violet,long,medium
828,XL,cotton,red,long,medium
829,XS,cotton,black,short,medium
830,XXL,polyester,orange,long,low
831,M,cotton,white,short,high
832,3XL,cotton,white,long,medium
833,L,linen,white,short,high
834,L,nylon,white,long,high
835,L,cotton,navy,long,medium
836,L,nylon,navy,long,medium
837,XXL,polyester,navy,long,medium
838,XXL,nylon,red,long,medium
839,XS,nylon,cream,short,high
840,XS,cotton,yellow,long,medium
841,M,nylon,blue,short,high
842,XL,linen,black,short,medium
843,L,nylon,navy,long,medium
844,XS,cotton,orange,short,high
845,M,polyester,black,long,medium
846,M,nylon,white,short,medium
847,L,polyester,cream,long,medium
848,S,polyester,cream,short,high
849,M,polyester,green,short,high
850,3XL,nylon,red,long,low
851,L,polyester,white,short,high
852,XXL,linen,green,long,medium
853,XL,polyester,black,long,medium
854,L,cotton,violet,short,high
855,XXL,linen,navy,long,medium
856,XL,polyester,navy,short,high
857,L,cotton,cream,long,medium
858,M,nylon,white,long,medium
859,XXL,nylon,green,short,medium
860,L,nylon,blue,short,high
861,XS,cotton,violet,long,medium
862,M,linen,navy,short,high
863,XL,linen,white,long,medium
864,L,cotton,white,long,high
865,M,nylon,green,short,high
866,M,polyester,white,short,medium
867,XS,linen,navy,short,high
868,XXL,cotton,cream,long,medium
869,L,nylon,blue,long,medium
870,XXL,nylon,cream,short,high
871,XXL,polyester,white,long,low
872,L,silk,orange,short,low
873,M,cotton,red,short,high
874,XL,polyester,navy,short,high
875,M,nylon,navy,long,medium
876,XL,nylon,black,short,medium
877,XXL,polyester,yellow,long,low
878,XXL,polyester,black,long,medium
879,XXL,cotton,yellow,short,medium
880,S,linen,red,long,high
881,3XL,polyester,green,long,low
882,XL,linen,violet,long,medium
883,M,nylon,green,long,medium
884,XL,cotton,blue,long,medium
885,XL,nylon,navy,long,medium
886,L,linen,navy,short,high
887,L,nylon,green,long,medium
888,L,polyester,cream,short,high
889,XL,nylon,yellow,short,high
890,XS,cotton,cream,long,medium
891,3XL,nylon,cream,long,medium
892,XL,linen,blue,short,high
893,XL,linen,blue,short,high
894,3XL,silk,cream,long,low
895,XS,silk,yellow,long,low
896,L,nylon,black,long,medium
