,size,material,color,sleeves,demand
271,XL,silk,white,short,low
272,L,nylon,violet,long,medium
273,S,linen,navy,short,high
274,XXL,polyester,yellow,long,medium
275,XL,nylon,cream,long,medium
276,XL,linen,black,short,medium
277,S,polyester,white,long,medium
278,XL,polyester,white,short,low
279,XS,nylon,violet,short,high
280,XS,linen,red,long,high
281,M,nylon,navy,short,high
282,XL,polyester,navy,long,medium
283,S,polyester,yellow,short,high
284,S,polyester,violet,long,high
285,L,polyester,black,long,high
286,S,nylon,orange,long,high
287,XL,nylon,violet,long,medium
288,L,cotton,blue,short,high
289,XS,nylon,red,long,high
290,XL,polyester,yellow,long,medium
291,L,nylon,cream,short,high
292,S,polyester,red,long,high
293,XL,nylon,white,short,low
294,S,linen,navy,long,high
295,S,linen,violet,short,high
296,XS,cotton,white,short,high
297,M,nylon,black,short,medium
298,L,nylon,yellow,long,medium
299,XL,nylon,red,long,medium
300,L,cotton,white,long,high
301,XS,nylon,white,long,medium
302,3XL,nylon,blue,short,high
303,L,linen,black,long,medium
304,L,polyester,black,long,high
305,XL,polyester,black,long,medium
306,M,linen,white,short,high
307,L,cotton,green,short,high
308,XS,polyester,white,short,medium
309,XS,cotton,white,long,high
310,L,polyester,red,short,high
311,XXL,nylon,red,short,high
312,L,silk,violet,short,low
313,M,cotton,green,short,high
314,S,linen,black,short,medium
315,L,cotton,violet,short,high
316,XS,silk,green,long,low
317,M,nylon,navy,long,medium
318,XXL,polyester,black,short,medium
319,XL,polyester,blue,short,high
320,XXL,silk,yellow,short,low
321,XL,polyester,orange,short,high
322,XS,polyester,white,long,medium
323,XXL,polyester,cream,short,high
324,XS,polyester,green,short,high
325,L,polyester,black,short,high
326,S,nylon,yellow,short,high
327,S,polyester,navy,long,high
328,XXL,cotton,red,long,medium
329,XS,nylon,red,short,high
330,M,polyester,orange,long,medium
331,XXL,silk,black,long,low
332,XS,nylon,yellow,short,high
333,XS,nylon,black,short,medium
334,S,polyester,white,short,medium
335,XXL,linen,cream,short,high
336,XL,polyester,violet,short,high
337,L,nylon,black,short,high
338,XL,cotton,black,long,medium
339,S,nylon,red,long,high
340,XS,polyester,black,short,medium
341,XS,polyester,orange,short,high
342,S,nylon,green,long,high
343,S,nylon,red,short,high
344,L,cotton,black,short,medium
345,XL,linen,navy,short,high
346,XL,cotton,cream,long,medium
347,M,cotton,blue,long,medium
348,XL,linen,white,long,medium
349,S,silk,navy,short,medium
350,XS,polyester,orange,long,medium
351,M,cotton,red,short,high
352,M,polyester,white,short,medium
353,XXL,polyester,green,long,low
354,XXL,cotton,green,short,medium
355,XL,cotton,orange,long,medium
356,XL,linen,white,long,medium
357,L,cotton,black,long,medium
358,XL,cotton,cream,short,high
359,XXL,nylon,white,long,low
360,L,polyester,navy,short,high
361,XS,polyester,cream,short,high
362,XXL,linen,cream,long,high
363,L,nylon,cream,short,high
364,L,nylon,white,short,high
365,L,nylon,violet,short,high
366,M,cotton,navy,short,high
367,L,nylon,black,short,high
368,XL,linen,black,long,medium
369,3XL,cotton,yellow,short,medium
370,XXL,cotton,yellow,short,medium
371,XS,cotton,white,short,high
372,M,nylon,blue,long,medium
373,S,cotton,navy,long,high
374,3XL,nylon,orange,long,low
375,XS,nylon,black,short,medium
376,M,linen,red,long,high
377,S,polyester,yellow,short,high
378,L,polyester,black,short,high
379,3XL,cotton,violet,short,medium
380,L,polyester,black,long,high
381,L,cotton,blue,short,high
382,L,nylon,cream,long,medium
383,XL,nylon,black,short,medium
384,XL,linen,navy,short,high
385,M,cotton,white,short,high
386,XS,cotton,black,long,medium
387,3XL,cotton,blue,short,medium
388,M,polyester,cream,long,medium
389,XXL,cotton,red,short,high
390,S,nylon,yellow,short,high
391,L,nylon,navy,short,high
392,L,linen,violet,long,high
393,XXL,polyester,blue,long,medium
394,L,polyester,white,long,high
395,S,polyester,navy,long,high
396,XL,polyester,blue,long,medium
397,XXL,cotton,violet,long,low
398,XXL,polyester,black,long,medium
399,L,nylon,violet,long,medium
400,XXL,silk,white,short,low
401,L,polyester,black,short,high
402,L,nylon,orange,long,medium
403,XL,cotton,red,long,medium
404,3XL,cotton,orange,short,medium
405,XXL,nylon,cream,short,high
406,S,cotton,yellow,long,medium
407,XXL,polyester,cream,short,high
408,XL,nylon,navy,short,high
409,L,polyester,red,short,high
410,S,nylon,black,short,medium
411,L,cotton,navy,long,medium
412,M,cotton,cream,short,high
413,L,cotton,white,short,high
414,L,linen,red,long,high
415,M,nylon,green,short,high
416,M,nylon,blue,short,high
417,L,polyester,red,long,medium
418,XL,nylon,red,short,high
419,L,linen,cream,long,high
420,M,nylon,white,long,medium
421,S,polyester,blue,long,high
422,XS,nylon,red,long,high
423,S,polyester,blue,short,high
424,M,polyester,cream,short,high
425,XL,linen,black,long,medium
426,XL,silk,navy,long,low
427,XS,cotton,yellow,long,medium
428,M,linen,yellow,short,high
429,S,linen,navy,short,high
430,XL,nylon,blue,short,high
431,XL,cotton,navy,short,high
432,S,cotton,black,long,medium
433,XL,polyester,cream,short,high
434,S,polyester,yellow,long,high
435,S,linen,yellow,short,high
436,L,polyester,yellow,long,medium
437,L,nylon,blue,short,high
438,L,cotton,white,long,high
439,XXL,polyester,yellow,short,high
440,L,nylon,black,long,high
441,M,polyester,navy,short,high
442,L,linen,green,short,high
443,S,nylon,white,long,medium
444,XL,polyester,cream,long,medium
445,S,cotton,blue,short,high
446,L,polyester,white,long,high
447,XXL,nylon,cream,long,medium
448,M,linen,blue,long,high
449,L,nylon,navy,short,high
450,M,cotton,navy,long,medium
451,L,silk,yellow,long,low
452,3XL,cotton,white,short,medium
453,XS,nylon,yellow,short,high
454,XL,polyester,green,long,medium
455,XS,cotton,orange,long,medium
456,XL,cotton,white,short,medium
457,XXL,silk,orange,long,low
458,XS,linen,black,short,low
459,M,linen,cream,long,high
460,L,nylon,cream,long,medium
461,XXL,linen,white,long,medium
462,M,linen,red,short,high
463,XL,cotton,white,long,medium
464,XL,nylon,orange,short,high
465,XXL,linen,red,short,high
466,L,polyester,white,long,high
467,L,cotton,yellow,short,high
468,XXL,cotton,red,short,high
469,XXL,nylon,red,short,high
470,L,polyester,white,short,high
471,L,nylon,green,short,high
472,XL,nylon,red,long,medium
473,S,polyester,cream,short,high
474,XL,polyester,orange,short,high
475,S,cotton,navy,long,high
476,L,nylon,white,long,high
477,XXL,nylon,violet,short,high
478,XS,cotton,cream,short,high
479,XL,nylon,navy,long,medium
480,S,cotton,white,long,high
481,XXL,cotton,cream,short,high
482,XXL,cotton,green,long,low
483,XL,linen,yellow,short,high
484,S,nylon,green,short,high
485,M,linen,orange,long,medium
486,M,polyester,blue,short,high
487,XS,polyester,navy,short,high
488,L,linen,white,short,high
489,XL,cotton,blue,long,medium
490,XXL,polyester,blue,short,high
491,XL,silk,navy,short,low
492,XL,cotton,black,short,medium
493,XXL,linen,white,long,medium
494,XS,linen,cream,short,high
495,XL,polyester,violet,short,high
496,L,nylon,white,short,high
497,XL,nylon,navy,short,high
498,XL,polyester,black,long,medium
499,3XL,nylon,white,long,low
500,M,nylon,blue,short,high
501,XS,polyester,black,short,medium
502,XXL,polyester,red,long,medium
503,S,polyester,white,long,medium
504,XXL,nylon,white,long,low
505,M,polyester,green,short,high
506,3XL,polyester,black,short,medium
507,M,linen,white,short,high
508,S,cotton,cream,short,high
509,L,nylon,black,short,high
510,S,linen,yellow,short,high
511,XS,nylon,red,long,high
512,M,polyester,navy,short,high
513,L,polyester,blue,long,medium
514,3XL,nylon,yellow,short,medium
515,XXL,silk,cream,long,low
516,S,polyester,blue,short,high
517,L,cotton,white,long,high
518,M,cotton,cream,short,high
519,L,nylon,red,short,high
520,XL,linen,cream,short,high
521,XL,cotton,navy,short,high
522,L,cotton,violet,long,medium
523,L,polyester,cream,short,high
524,L,linen,cream,short,high
525,L,nylon,orange,short,high
526,XL,nylon,green,short,high
527,XXL,nylon,orange,short,high
528,L,cotton,red,short,high
529,XL,linen,black,long,medium
530,S,polyester,yellow,short,high
531,L,polyester,white,long,high
532,3XL,polyester,white,short,low
533,L,polyester,white,long,high
534,L,polyester,blue,long,medium
535,L,cotton,black,long,medium
536,XL,polyester,blue,short,high
537,S,polyester,white,long,medium
538,L,polyester,green,long,medium
539,S,nylon,violet,short,high
540,XS,cotton,white,long,high
541,XS,polyester,red,short,high
542,3XL,cotton,orange,short,medium
543,3XL,polyester,red,short,high
544,L,polyester,navy,short,high
545,M,cotton,green,short,high
546,XXL,polyester,green,short,high
547,L,nylon,violet,long,medium
548,L,cotton,white,short,high
549,XS,polyester,blue,short,high
550,XL,nylon,blue,long,medium
551,L,nylon,black,short,high
552,XL,polyester,red,short,high
553,XL,nylon,blue,short,high
554,3XL,linen,cream,short,high
555,XXL,cotton,violet,short,medium
556,S,linen,white,short,high
557,XXL,cotton,green,short,medium
558,XL,nylon,white,long,low
559,M,polyester,orange,long,medium
560,XL,cotton,white,short,medium
561,3XL,nylon,blue,short,high
562,S,nylon,yellow,long,high
563,L,polyester,black,long,high
564,M,polyester,orange,short,high
565,XS,linen,orange,short,high
566,M,nylon,blue,long,medium
567,M,polyester,yellow,short,high
568,XXL,nylon,red,long,medium
569,XXL,cotton,cream,short,high
570,3XL,nylon,yellow,short,medium
571,L,polyester,navy,long,medium
572,L,cotton,cream,short,high
573,M,nylon,cream,long,medium
574,XS,silk,navy,long,medium
575,XXL,polyester,blue,long,medium
576,XL,nylon,yellow,short,high
577,XXL,nylon,blue,long,medium
578,L,nylon,navy,short,high
579,XXL,polyester,white,long,low
580,3XL,linen,navy,long,medium
581,M,nylon,white,long,medium
582,M,nylon,navy,short,high
583,M,linen,black,short,medium
584,XXL,polyester,white,short,low
585,3XL,polyester,black,long,medium
586,S,nylon,navy,short,high
587,XL,cotton,violet,short,high
588,L,polyester,black,short,high
589,L,cotton,navy,long,medium
590,XXL,linen,yellow,short,high
591,M,cotton,navy,long,medium
592,M,linen,blue,short,high
593,L,linen,blue,short,high
594,L,linen,black,short,medium
595,S,linen,cream,long,high
596,S,polyester,white,long,medium
597,L,nylon,yellow,long,medium
598,M,cotton,white,short,high
599,M,linen,blue,long,high
600,3XL,nylon,cream,short,high
601,L,polyester,navy,short,high
602,XS,nylon,black,short,medium
603,3XL,nylon,red,short,high
604,S,polyester,navy,short,high
605,XL,cotton,black,long,medium
606,XL,cotton,green,short,high
607,L,nylon,white,short,high
608,S,nylon,blue,long,high
609,XXL,polyester,white,long,low
610,3XL,silk,white,long,low
611,M,linen,red,short,high
612,XXL,nylon,black,short,medium
613,L,polyester,yellow,long,medium
614,L,linen,cream,long,high
615,XXL,nylon,white,long,low
616,L,cotton,black,long,medium
617,M,nylon,black,short,medium
618,M,linen,navy,long,high
619,3XL,linen,cream,short,high
620,L,cotton,white,short,high
621,M,cotton,white,short,high
622,S,polyester,black,short,medium
623,S,nylon,yellow,short,high
624,XL,silk,white,long,low
625,M,linen,white,long,high
626,XL,silk,cream,long,low
627,L,nylon,red,long,medium
628,XXL,nylon,navy,long,medium
629,M,polyester,violet,long,medium
630,3XL,polyester,white,long,low
631,L,cotton,black,short,medium
632,L,nylon,white,long,high
633,L,nylon,white,long,high
634,S,linen,blue,long,high
635,XXL,linen,cream,long,high
636,XXL,cotton,red,short,high
637,L,linen,white,short,high
638,L,nylon,red,short,high
639,XL,nylon,navy,long,medium
640,M,nylon,cream,long,medium
641,L,polyester,white,short,high
642,M,nylon,white,short,medium
643,XS,nylon,red,long,high
644,L,polyester,orange,short,high
645,S,nylon,black,long,medium
646,L,nylon,cream,short,high
647,XXL,nylon,black,long,medium
648,XS,polyester,red,short,high
649,3XL,nylon,blue,short,high
650,XL,polyester,red,long,medium
651,L,silk,white,long,medium
652,XS,polyester,navy,short,high
653,L,nylon,blue,long,medium
654,M,nylon,white,short,medium
655,XXL,polyester,white,short,low
656,L,polyester,yellow,long,medium
657,XL,polyester,green,long,medium
658,L,cotton,red,short,high
659,M,polyester,blue,long,medium
660,3XL,polyester,blue,long,medium
661,XS,silk,white,short,low
662,L,nylon,violet,short,high
663,L,cotton,blue,short,high
664,XXL,nylon,blue,short,high
665,L,nylon,navy,short,high
666,XL,nylon,white,long,low
667,M,polyester,red,short,high
668,M,linen,cream,long,high
669,XS,cotton,white,long,high
670,XL,polyester,navy,short,high
671,L,silk,green,short,low
672,XL,cotton,orange,short,high
673,XL,linen,black,long,medium
674,M,polyester,white,long,medium
675,3XL,linen,cream,short,high
676,L,cotton,yellow,long,medium
677,XXL,polyester,black,short,medium
678,XXL,cotton,red,short,high
679,XL,nylon,navy,short,high
680,S,polyester,navy,long,high
681,M,nylon,navy,long,medium
682,XL,nylon,red,short,high
683,S,polyester,violet,short,high
684,XL,cotton,red,short,high
685,XXL,polyester,navy,short,high
686,XXL,cotton,red,short,high
687,XS,nylon,white,long,medium
688,M,polyester,black,long,medium
689,L,cotton,yellow,long,medium
690,XL,cotton,yellow,long,medium
691,L,polyester,blue,long,medium
692,L,cotton,yellow,long,medium
693,M,nylon,black,short,medium
694,M,polyester,black,short,medium
695,XXL,cotton,yellow,long,low
696,XS,cotton,blue,short,high
697,XXL,polyester,yellow,long,medium
698,S,cotton,red,short,high
699,XL,cotton,blue,long,medium
700,XXL,nylon,orange,long,medium
701,3XL,nylon,cream,short,high
702,XXL,nylon,red,short,high
703,XL,nylon,green,long,medium
704,3XL,linen,black,long,low
705,L,cotton,black,short,medium
706,M,nylon,blue,long,medium
707,XL,silk,red,long,low
708,L,cotton,green,short,high
709,L,polyester,white,long,high
710,XL,polyester,red,short,high
711,M,polyester,navy,short,high
712,3XL,linen,white,short,medium
713,M,cotton,navy,long,medium
714,S,nylon,green,short,high
715,L,polyester,navy,long,medium
716,XL,nylon,orange,short,high
717,XL,cotton,cream,short,high
718,XXL,nylon,violet,short,high
719,L,polyester,white,short,high
720,S,cotton,orange,long,medium
721,L,polyester,yellow,short,high
722,S,cotton,cream,short,high
723,M,cotton,yellow,long,medium
724,XXL,polyester,black,short,medium
725,M,cotton,cream,short,high
726,XL,nylon,black,short,medium
727,XL,nylon,cream,short,high
728,L,polyester,yellow,long,medium
729,L,cotton,blue,short,high
730,3XL,polyester,cream,long,medium
731,M,polyester,cream,long,medium
732,S,polyester,cream,short,high
733,XXL,linen,blue,long,medium
734,L,polyester,cream,long,medium
735,XL,polyester,black,short,medium
736,M,cotton,white,long,high
737,S,polyester,white,short,medium
738,3XL,polyester,white,long,low
739,M,polyester,yellow,long,medium
740,M,linen,yellow,long,medium
741,XXL,cotton,red,long,medium
742,XL,nylon,violet,long,medium
743,L,polyester,cream,long,medium
744,L,cotton,white,long,high
745,XXL,linen,yellow,short,high
746,XXL,linen,violet,short,high
747,XS,polyester,yellow,long,medium
748,XL,cotton,cream,short,high
749,XL,linen,white,long,medium
750,S,linen,navy,long,high
751,XXL,nylon,blue,short,high
752,XXL,nylon,green,short,high
753,3XL,nylon,blue,short,high
754,XL,linen,white,long,medium
755,XL,linen,orange,short,high
756,M,linen,yellow,long,medium
757,M,nylon,white,long,medium
758,S,polyester,yellow,short,high
759,XXL,nylon,black,short,medium
760,XXL,nylon,orange,short,high
761,XS,nylon,black,long,medium
762,S,polyester,green,short,high
763,M,linen,orange,short,high
764,S,nylon,orange,short,high
765,3XL,cotton,cream,short,high
766,S,nylon,red,short,high
767,S,polyester,red,short,high
768,XXL,nylon,navy,long,medium
769,3XL,cotton,navy,short,high
770,XL,nylon,green,short,high
771,3XL,linen,yellow,long,medium
772,L,cotton,navy,short,high
773,L,polyester,white,short,high
774,L,polyester,cream,long,medium
775,3XL,silk,yellow,long,low
776,L,nylon,cream,short,high
777,L,polyester,orange,short,high
778,XXL,nylon,green,long,low
779,XXL,polyester,white,long,low
780,XL,cotton,red,long,medium
781,XS,nylon,blue,short,high
782,3XL,nylon,yellow,short,medium
783,3XL,cotton,black,long,medium
784,XL,nylon,black,short,medium
785,3XL,linen,cream,long,medium
786,S,silk,black,short,low
787,L,polyester,violet,short,high
788,XXL,polyester,black,long,medium
789,L,polyester,navy,short,high
790,M,linen,white,short,high
791,S,polyester,green,long,high
792,L,cotton,black,long,medium
793,L,cotton,white,short,high
794,S,polyester,black,long,medium
795,XS,silk,red,long,medium
796,XXL,linen,yellow,short,high
797,M,polyester,navy,long,medium
798,XXL,cotton,blue,short,high
799,L,polyester,navy,short,high
800,XXL,silk,black,long,low
801,M,linen,navy,long,high
802,XS,polyester,white,long,medium
803,XS,polyester,black,short,medium
804,L,linen,cream,long,high
805,S,linen,cream,short,high
806,L,cotton,black,short,medium
807,XL,polyester,blue,long,medium
808,XL,nylon,white,long,low
809,XL,nylon,violet,long,medium
810,XS,polyester,red,short,high
811,XXL,cotton,black,long,medium
812,L,cotton,blue,short,high
813,XL,nylon,blue,long,medium
814,L,polyester,green,long,medium
815,XS,polyester,black,long,medium
816,L,polyester,navy,short,high
817,XL,polyester,violet,short,high
818,S,polyester,black,long,medium
819,XL,nylon,orange,short,high
820,XS,linen,red,short,high
821,XL,nylon,black,short,medium
822,L,polyester,black,short,high
823,S,nylon,white,short,medium
824,XXL,cotton,navy,long,medium
825,XXL,cotton,white,long,medium
826,M,cotton,red,short,high
827,M,cotton,white,long,high
828,XS,nylon,cream,long,high
829,L,polyester,black,long,high
830,3XL,nylon,orange,short,medium
831,XL,cotton,black,short,medium
832,XXL,cotton,violet,long,low
833,L,polyester,navy,short,high
834,L,cotton,white,short,high
835,L,cotton,white,short,high
836,XL,polyester,cream,long,medium
837,XXL,linen,cream,short,high
838,M,polyester,cream,long,medium
839,XXL,cotton,violet,long,low
840,L,silk,green,short,low
841,S,polyester,red,long,high
842,XS,nylon,navy,short,high
843,L,linen,green,long,high
844,M,cotton,black,short,medium
845,3XL,linen,cream,long,medium
846,XS,cotton,cream,short,high
847,L,nylon,orange,short,high
848,L,nylon,white,short,high
849,L,polyester,black,long,high
850,M,cotton,navy,long,medium
851,M,polyester,black,short,medium
852,M,polyester,red,short,high
853,S,nylon,violet,long,high
854,XL,nylon,white,long,low
855,M,polyester,blue,long,medium
856,L,nylon,blue,long,medium
857,M,cotton,red,long,medium
858,XL,linen,white,long,medium
859,M,cotton,red,short,high
860,XS,polyester,black,short,medium
861,L,silk,white,short,low
862,3XL,nylon,orange,short,medium
863,S,cotton,cream,short,high
864,L,cotton,cream,long,medium
865,L,nylon,blue,short,high
866,XXL,linen,cream,long,high
867,S,cotton,cream,long,high
868,XL,nylon,black,short,medium
869,3XL,linen,blue,short,high
870,M,nylon,yellow,long,medium
871,L,cotton,green,long,medium
872,M,cotton,red,long,medium
873,S,linen,orange,short,high
874,XXL,cotton,green,long,low
875,M,polyester,green,short,high
876,XS,polyester,red,short,high
877,XXL,linen,navy,short,high
878,S,linen,red,short,high
879,L,nylon,black,long,high
880,L,linen,orange,long,high
881,M,cotton,cream,short,high
882,S,nylon,navy,long,high
883,XL,nylon,white,short,low
884,XL,polyester,black,long,medium
885,XS,polyester,blue,long,high
886,XL,nylon,red,short,high
887,XXL,nylon,white,short,low
888,XXL,silk,yellow,short,low
889,S,nylon,white,long,medium
890,3XL,cotton,black,long,medium
891,M,linen,black,long,medium
892,XS,cotton,yellow,long,medium
893,XXL,nylon,white,short,low
894,M,cotton,red,short,high
895,3XL,polyester,red,long,medium
896,L,linen,white,long,high
897,S,nylon,navy,short,high
898,S,nylon,navy,long,high
899,XS,cotton,orange,short,high
900,S,polyester,black,short,medium
901,S,polyester,white,long,medium
